a_ply1,a_ply2,a_ply3,a_ply4,a_ply5,a_ply6,b_ply1,b_ply2,b_ply3,b_ply4,b_ply5,b_ply6,Category_C,Strength
0.09000000000000001,0.1766666666666667,0.1766666666666667,0.35333333333333333,0.44333333333333336,0.5333333333333333,0.0,0.09000000000000001,0.1766666666666667,0.26666666666666666,0.35333333333333333,0.44333333333333336,0,-1.252353725072313
0.06999999999999999,0.14333333333333337,0.21333333333333335,0.2833333333333333,0.35333333333333333,0.4266666666666667,0.0,0.06999999999999999,0.14333333333333337,0.21333333333333335,0.2833333333333333,0.35333333333333333,0,-1.634788473965098
0.05999999999999999,0.11666666666666667,0.1766666666666667,0.23666666666666666,0.29333333333333333,0.35333333333333333,0.0,0.05999999999999999,0.11666666666666667,0.1766666666666667,0.23666666666666666,0.29333333333333333,0,-0.9805251045357752
0.05,0.1,0.15,0.2033333333333333,0.2533333333333333,0.30333333333333334,0.0,0.05,0.1,0.15,0.2033333333333333,0.2533333333333333,0,-2.0162858827870664
0.04333333333333333,0.08666666666666666,0.13333333333333333,0.1766666666666667,0.22,0.26333333333333336,0.0,0.04333333333333333,0.08666666666666666,0.13333333333333333,0.1766666666666667,0.22,0,-2.3012372643150236
0.04000000000000001,0.07666666666666666,0.11666666666666667,0.15666666666666665,0.19666666666666668,0.23333333333333334,0.0,0.04000000000000001,0.07666666666666666,0.11666666666666667,0.15666666666666665,0.19666666666666668,0,-2.017223222857882
0.03666666666666665,0.06999999999999999,0.10666666666666665,0.13999999999999999,0.1766666666666667,0.21000000000000002,0.0,0.03666666666666665,0.06999999999999999,0.10666666666666665,0.13999999999999999,0.1766666666666667,0,-2.1118945700102625
0.04000000000000001,0.13333333333333333,0.1733333333333333,0.26666666666666666,0.33666666666666667,0.4066666666666666,0.0,0.08333333333333333,0.13333333333333333,0.21666666666666667,0.29,0.36000000000000004,0,0.1255361790266891
0.04000000000000001,0.11666666666666667,0.1766666666666667,0.25,0.31666666666666665,0.38333333333333336,0.0,0.06333333333333334,0.13333333333333333,0.19666666666666668,0.26999999999999996,0.33666666666666667,0,-0.89335247794992
0.11000000000000003,0.35666666666666663,0.4666666666666667,0.7166666666666667,0.8966666666666666,1.0866666666666667,0.0,0.22,0.35666666666666663,0.58,0.44,0.9599999999999999,0,1.3000232877586961
0.11000000000000003,0.31,0.47000000000000003,0.6666666666666666,0.8466666666666666,1.0266666666666666,0.0,0.1733333333333333,0.36000000000000004,0.5299999999999999,0.7233333333333333,0.9033333333333334,0,0.9419593807071193
0.04333333333333333,0.08333333333333333,0.12666666666666668,0.16666666666666666,0.21000000000000002,0.24333333333333335,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.18999999999999997,0.22,0,-1.2636018059221013
0.04333333333333333,0.13666666666666666,0.18000000000000002,0.2733333333333333,0.3433333333333334,0.4133333333333333,0.0,0.08333333333333333,0.13666666666666666,0.22,0.29333333333333333,0.36666666666666664,0,-0.6777642616623213
0.11333333333333334,0.24333333333333335,0.3766666666666667,0.5066666666666666,0.64,0.77,0.0,0.13333333333333333,0.26333333333333336,0.3966666666666666,0.5266666666666667,0.66,0,-0.43405584325025265
0.11333333333333334,0.27666666666666667,0.44,0.6033333333333334,0.7633333333333333,0.9266666666666665,0.0,0.16333333333333336,0.3266666666666667,0.49,0.6533333333333334,0.8166666666666667,0,0.7872982690225367
0.03333333333333333,0.06666666666666667,0.1,0.13333333333333333,0.16666666666666666,0.2,0.0,0.03333333333333333,0.06666666666666667,0.1,0.13333333333333333,0.16666666666666666,0,0.7591780668980677
0.06666666666666667,0.13333333333333333,0.2,0.26666666666666666,0.3333333333333333,0.4,0.0,0.06666666666666667,0.13333333333333333,0.2,0.26666666666666666,0.3333333333333333,0,0.7563660466856206
0.1,0.2,0.3,0.4,0.5,0.6,0.0,0.1,0.2,0.3,0.4,0.5,0,0.7676141275354075
0.13333333333333333,0.26666666666666666,0.4,0.5333333333333333,0.6666666666666666,0.8,0.0,0.13333333333333333,0.26666666666666666,0.4,0.5333333333333333,0.6666666666666666,0,0.7751128481019338
0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333334,1.0,0.0,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333334,0,0.7844862488100898
0.06666666666666667,0.1,0.2,0.23333333333333334,0.26666666666666666,0.3,0.0,0.03333333333333333,0.06666666666666667,0.1,0.13333333333333333,0.16666666666666666,0,0.7601154069688824
0.06666666666666667,0.13333333333333333,0.2,0.26666666666666666,0.36666666666666664,0.4666666666666667,0.0,0.06666666666666667,0.13333333333333333,0.2,0.3,0.4,0,0.7629274271813294
0.06666666666666667,0.13333333333333333,0.2,0.26666666666666666,0.4,0.5333333333333333,0.0,0.06666666666666667,0.13333333333333333,0.2,0.3333333333333333,0.4666666666666667,0,0.7638647672521456
0.06666666666666667,0.16666666666666666,0.23333333333333334,0.3333333333333333,0.36666666666666664,0.4,0.0,0.06666666666666667,0.13333333333333333,0.2,0.26666666666666666,0.3333333333333333,0,-0.9749010641108818
0.06666666666666667,0.16666666666666666,0.23333333333333334,0.3333333333333333,0.36666666666666664,0.4,0.0,0.1,0.2,0.3,0.3333333333333333,0.36666666666666664,0,0.7629274271813294
0.1,0.13333333333333333,0.2,0.23333333333333334,0.26666666666666666,0.3,0.0,0.03333333333333333,0.06666666666666667,0.1,0.13333333333333333,0.16666666666666666,0,0.7638647672521456
0.1,0.13333333333333333,0.2,0.23333333333333334,0.26666666666666666,0.3,0.0,0.06666666666666667,0.13333333333333333,0.2,0.26666666666666666,0.3333333333333333,0,-0.41624638190475555
0.0,0.03333333333333333,0.06666666666666667,0.1,0.13333333333333333,0.16666666666666666,0.0,0.03333333333333333,0.06666666666666667,0.1,0.13333333333333333,0.16666666666666666,0,-2.3237334260145985
